TeacherID,CourseID,SeqID,Time

101,201,1,2017-06-11 17:55:10
101,201,2,2017-06-11 17:56:09
101,201,3,2017-06-11 17:57:47
101,201,4,2017-06-11 17:58:09
101,201,5,2017-06-11 18:17:47
101,201,6,2017-06-11 18:18:39
101,201,7,2017-06-11 18:40:28
101,201,8,2017-06-11 18:41:50
101,201,9,2017-06-11 18:50:39
101,201,10,2017-06-11 18:51:55
101,201,11,2017-06-11 18:54:13
101,201,12,2017-06-11 18:54:50
101,201,13,2017-06-11 18:55:37
101,201,14,2017-06-11 18:56:46
101,201,15,2017-06-11 19:00:34
101,201,16,2017-06-11 19:04:11
101,201,17,2017-06-11 19:04:47
101,201,18,2017-06-11 19:05:32
101,201,19,2017-06-11 19:06:35
101,201,20,2017-06-11 19:07:51
101,201,21,2017-06-11 19:08:07
